Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_9973	0	1
SRR2075686_rloop_peak_9969	0	1
SRR2075686_rloop_peak_9954	0	1
SRR2075686_rloop_peak_9919	0	1
SRR2075686_rloop_peak_9916	0	1
SRR2075686_rloop_peak_9915	0	1
SRR2075686_rloop_peak_9912	0	1
SRR2075686_rloop_peak_9896	0	1
SRR2075686_rloop_peak_9889	0	1
SRR2075686_rloop_peak_9865	0	1
SRR2075686_rloop_peak_9849	0	1
SRR2075686_rloop_peak_9848	0	1
SRR2075686_rloop_peak_9843	0	1
SRR2075686_rloop_peak_9841	0	1
SRR2075686_rloop_peak_9839	0	1
SRR2075686_rloop_peak_9815	0	1
SRR2075686_rloop_peak_9792	0	1
SRR2075686_rloop_peak_979	0	1
SRR2075686_rloop_peak_9787	0	1
SRR2075686_rloop_peak_9779	0	1
SRR2075686_rloop_peak_9756	0	1
SRR2075686_rloop_peak_9737	0	1
SRR2075686_rloop_peak_9730	0	1
SRR2075686_rloop_peak_9726	0	1
SRR2075686_rloop_peak_9725	0	1
SRR2075686_rloop_peak_972	0	1
SRR2075686_rloop_peak_9703	0	1
SRR2075686_rloop_peak_9700	0	1
SRR2075686_rloop_peak_9695	0	1
SRR2075686_rloop_peak_969	0	1
SRR2075686_rloop_peak_9670	0	1
SRR2075686_rloop_peak_9662	0	1
SRR2075686_rloop_peak_9659	0	1
SRR2075686_rloop_peak_9658	0	1
SRR2075686_rloop_peak_9657	0	1
SRR2075686_rloop_peak_9650	0	1
SRR2075686_rloop_peak_9641	0	1
SRR2075686_rloop_peak_9633	0	1
SRR2075686_rloop_peak_9624	0	1
SRR2075686_rloop_peak_9620	0	1
SRR2075686_rloop_peak_9605	0	1
SRR2075686_rloop_peak_9599	0	1
SRR2075686_rloop_peak_9581	0	1
SRR2075686_rloop_peak_9563	0	1
SRR2075686_rloop_peak_9549	0	1
SRR2075686_rloop_peak_9541	0	1
SRR2075686_rloop_peak_9537	0	1
SRR2075686_rloop_peak_9535	0	1
SRR2075686_rloop_peak_9532	0	1
SRR2075686_rloop_peak_9527	0	1
SRR2075686_rloop_peak_9511	0	1
SRR2075686_rloop_peak_9498	0	1
SRR2075686_rloop_peak_9487	0	1
SRR2075686_rloop_peak_9480	0	1
SRR2075686_rloop_peak_9477	0	1
SRR2075686_rloop_peak_9475	0	1
SRR2075686_rloop_peak_9447	0	1
SRR2075686_rloop_peak_9433	0	1
SRR2075686_rloop_peak_9429	0	1
SRR2075686_rloop_peak_9421	0	1
SRR2075686_rloop_peak_9417	0	1
SRR2075686_rloop_peak_9409	0	1
SRR2075686_rloop_peak_9408	0	1
SRR2075686_rloop_peak_9406	0	1
SRR2075686_rloop_peak_9393	0	1
SRR2075686_rloop_peak_9354	0	1
SRR2075686_rloop_peak_9337	0	1
SRR2075686_rloop_peak_933	0	1
SRR2075686_rloop_peak_9298	0	1
SRR2075686_rloop_peak_9280	0	1
SRR2075686_rloop_peak_928	0	1
SRR2075686_rloop_peak_9277	0	1
SRR2075686_rloop_peak_9268	0	1
SRR2075686_rloop_peak_9260	0	1
SRR2075686_rloop_peak_9239	0	1
SRR2075686_rloop_peak_9231	0	1
SRR2075686_rloop_peak_9224	0	1
SRR2075686_rloop_peak_9223	0	1
SRR2075686_rloop_peak_922	0	1
SRR2075686_rloop_peak_9216	0	1
SRR2075686_rloop_peak_9208	0	1
SRR2075686_rloop_peak_9193	0	1
SRR2075686_rloop_peak_9161	0	1
SRR2075686_rloop_peak_9160	0	1
SRR2075686_rloop_peak_9158	0	1
SRR2075686_rloop_peak_9142	0	1
SRR2075686_rloop_peak_9132	0	1
SRR2075686_rloop_peak_9130	0	1
SRR2075686_rloop_peak_9124	0	1
SRR2075686_rloop_peak_9122	0	1
SRR2075686_rloop_peak_9112	0	1
SRR2075686_rloop_peak_9093	0	1
SRR2075686_rloop_peak_9088	0	1
SRR2075686_rloop_peak_9083	0	1
SRR2075686_rloop_peak_9082	0	1
SRR2075686_rloop_peak_9081	0	1
SRR2075686_rloop_peak_908	0	1
SRR2075686_rloop_peak_9078	0	1
SRR2075686_rloop_peak_9077	0	1
SRR2075686_rloop_peak_9075	0	1
SRR2075686_rloop_peak_9065	0	1
SRR2075686_rloop_peak_9061	0	1
SRR2075686_rloop_peak_9052	0	1
SRR2075686_rloop_peak_9040	0	1
SRR2075686_rloop_peak_9039	0	1
SRR2075686_rloop_peak_9038	0	1
SRR2075686_rloop_peak_9031	0	1
SRR2075686_rloop_peak_9004	0	1
SRR2075686_rloop_peak_8998	0	1
SRR2075686_rloop_peak_8995	0	1
SRR2075686_rloop_peak_8993	0	1
SRR2075686_rloop_peak_8986	0	1
SRR2075686_rloop_peak_8972	0	1
SRR2075686_rloop_peak_8968	0	1
SRR2075686_rloop_peak_895	0	1
SRR2075686_rloop_peak_8917	0	1
SRR2075686_rloop_peak_8905	0	1
